OrderID,Date,Category,Product,Region,Quantity,UnitPrice,Sales,Discount,CustomerSegment
1035,2023-03-27,Electronics,Smartphone,West,1,699.99,699.99,0.00,Corporate
1036,2023-03-30,Furniture,Bookshelf,South,2,229.99,459.98,0.05,Consumer
1037,2023-04-02,Office Supplies,Notebook,North,12,5.99,71.88,0.00,Home Office
1038,2023-04-04,Electronics,Laptop,East,2,899.99,1799.98,0.10,Corporate
1039,2023-04-06,Clothing,Jeans,West,4,59.99,239.96,0.05,Consumer
1040,2023-04-09,Food,Chocolate,South,5,14.50,72.50,0.00,Consumer
1041,2023-04-11,Electronics,Camera,North,1,549.00,549.00,0.00,Consumer
1042,2023-04-13,Furniture,Sofa,East,1,899.00,899.00,0.15,Corporate
1043,2023-04-16,Office Supplies,Folder,West,25,3.49,87.25,0.00,Home Office
1044,2023-04-18,Electronics,Tablet,South,2,499.00,998.00,0.05,Consumer
1045,2023-04-20,Clothing,Dress,North,3,79.99,239.97,0.10,Consumer
1046,2023-04-23,Food,Olive Oil,East,4,19.99,79.96,0.00,Home Office
1047,2023-04-25,Electronics,Headphones,West,3,149.99,449.97,0.05,Corporate
1048,2023-04-28,Furniture,Chair,South,5,199.50,997.50,0.00,Consumer
1049,2023-05-01,Office Supplies,Pen Set,North,10,12.99,129.90,0.00,Consumer
1050,2023-05-03,Electronics,Monitor,East,1,349.00,349.00,0.00,Corporate
1051,2023-05-05,Clothing,Jacket,West,2,89.99,179.98,0.05,Consumer
1052,2023-05-08,Food,Coffee Beans,South,8,24.50,196.00,0.00,Home Office
1053,2023-05-10,Electronics,Smartphone,North,2,799.99,1599.98,0.10,Consumer
1054,2023-05-12,Furniture,Desk,East,2,549.00,1098.00,0.05,Corporate
1055,2023-05-15,Office Supplies,Stapler,West,3,18.75,56.25,0.00,Home Office
1056,2023-05-17,Clothing,T-Shirt,South,6,24.99,149.94,0.15,Consumer
1057,2023-05-20,Food,Tea,North,10,9.99,99.90,0.00,Consumer
1058,2023-05-22,Electronics,Laptop,East,1,1299.99,1299.99,0.00,Corporate
1059,2023-05-25,Furniture,Bookshelf,West,3,229.99,689.97,0.10,Consumer
1060,2023-05-27,Office Supplies,Notebook,South,18,5.99,107.82,0.00,Home Office
1061,2023-05-30,Electronics,Camera,North,2,649.00,1298.00,0.05,Consumer
1062,2023-06-02,Clothing,Jeans,East,5,59.99,299.95,0.00,Consumer
1063,2023-06-04,Food,Chocolate,West,6,14.50,87.00,0.00,Consumer
1064,2023-06-07,Electronics,Tablet,South,3,399.00,1197.00,0.10,Corporate
1065,2023-06-09,Furniture,Sofa,North,1,999.00,999.00,0.05,Corporate
1066,2023-06-11,Office Supplies,Folder,East,30,3.49,104.70,0.00,Home Office
1067,2023-06-14,Electronics,Headphones,West,5,149.99,749.95,0.15,Consumer
1068,2023-06-16,Clothing,Dress,South,2,79.99,159.98,0.05,Consumer
1069,2023-06-19,Food,Olive Oil,North,5,19.99,99.95,0.00,Home Office
1070,2023-06-21,Electronics,Monitor,East,3,349.00,1047.00,0.00,Corporate
1071,2023-06-23,Furniture,Chair,West,4,199.50,798.00,0.10,Consumer
1072,2023-06-26,Office Supplies,Pen Set,South,12,12.99,155.88,0.00,Consumer
1073,2023-06-28,Electronics,Laptop,North,2,899.99,1799.98,0.05,Corporate
1074,2023-07-01,Clothing,Jacket,East,1,89.99,89.99,0.00,Consumer
1075,2023-07-03,Food,Coffee Beans,West,4,24.50,98.00,0.00,Home Office
1076,2023-07-06,Electronics,Smartphone,South,1,799.99,799.99,0.10,Consumer
1077,2023-07-08,Furniture,Desk,North,1,549.00,549.00,0.05,Corporate
1078,2023-07-11,Office Supplies,Stapler,East,5,18.75,93.75,0.00,Home Office
1079,2023-07-13,Clothing,T-Shirt,West,8,24.99,199.92,0.00,Consumer
1080,2023-07-16,Food,Tea,South,15,9.99,149.85,0.00,Consumer
1081,2023-07-18,Electronics,Camera,North,1,549.00,549.00,0.00,Consumer
1082,2023-07-20,Furniture,Bookshelf,East,2,229.99,459.98,0.05,Consumer
1083,2023-07-23,Office Supplies,Notebook,West,20,5.99,119.80,0.00,Home Office
1084,2023-07-25,Electronics,Tablet,South,2,499.00,998.00,0.15,Corporate
1085,2023-07-28,Clothing,Jeans,North,3,59.99,179.97,0.10,Consumer
1086,2023-07-30,Food,Chocolate,East,8,14.50,116.00,0.00,Consumer
1087,2023-08-02,Electronics,Monitor,West,2,349.00,698.00,0.05,Corporate
1088,2023-08-04,Furniture,Sofa,South,1,899.00,899.00,0.00,Corporate
1089,2023-08-07,Office Supplies,Folder,North,15,3.49,52.35,0.00,Home Office
1090,2023-08-09,Electronics,Headphones,East,4,149.99,599.96,0.10,Consumer
1091,2023-08-11,Clothing,Dress,West,3,79.99,239.97,0.05,Consumer
1092,2023-08-14,Food,Olive Oil,South,6,19.99,119.94,0.00,Home Office
1093,2023-08-16,Electronics,Laptop,North,1,999.99,999.99,0.00,Corporate
1094,2023-08-19,Furniture,Chair,East,6,199.50,1197.00,0.05,Consumer
1095,2023-08-21,Office Supplies,Pen Set,West,8,12.99,103.92,0.00,Consumer
1096,2023-08-23,Electronics,Smartphone,South,2,699.99,1399.98,0.10,Consumer
1097,2023-08-26,Clothing,Jacket,North,2,89.99,179.98,0.05,Home Office
1098,2023-08-28,Food,Coffee Beans,East,5,24.50,122.50,0.00,Consumer
1099,2023-08-30,Electronics,Camera,West,1,649.00,649.00,0.00,Consumer
1100,2023-09-02,Furniture,Desk,South,2,549.00,1098.00,0.10,Corporate
1101,2023-09-04,Office Supplies,Stapler,North,4,18.75,75.00,0.00,Home Office
1102,2023-09-07,Clothing,T-Shirt,East,10,24.99,249.90,0.15,Consumer
1103,2023-09-09,Food,Tea,West,12,9.99,119.88,0.00,Consumer
1104,2023-09-11,Electronics,Tablet,South,3,399.00,1197.00,0.05,Corporate
1105,2023-09-14,Furniture,Bookshelf,North,1,229.99,229.99,0.00,Consumer
1106,2023-09-16,Office Supplies,Notebook,East,25,5.99,149.75,0.00,Home Office
1107,2023-09-19,Electronics,Monitor,West,2,349.00,698.00,0.00,Corporate
1108,2023-09-21,Clothing,Jeans,South,4,59.99,239.96,0.05,Consumer
1109,2023-09-23,Food,Chocolate,North,6,14.50,87.00,0.00,Consumer
1110,2023-09-26,Electronics,Laptop,East,1,1099.99,1099.99,0.10,Corporate
1111,2023-09-28,Furniture,Sofa,West,1,999.00,999.00,0.05,Corporate
1112,2023-10-01,Office Supplies,Folder,South,20,3.49,69.80,0.00,Home Office
1113,2023-10-03,Electronics,Headphones,North,3,149.99,449.97,0.15,Consumer
1114,2023-10-06,Clothing,Dress,East,2,79.99,159.98,0.10,Consumer
1115,2023-10-08,Food,Olive Oil,West,4,19.99,79.96,0.00,Home Office
1116,2023-10-10,Electronics,Smartphone,South,2,799.99,1599.98,0.00,Consumer
1117,2023-10-13,Furniture,Chair,North,3,199.50,598.50,0.05,Consumer
1118,2023-10-15,Office Supplies,Pen Set,East,10,12.99,129.90,0.00,Consumer
1119,2023-10-18,Electronics,Camera,West,2,549.00,1098.00,0.05,Consumer
1120,2023-10-20,Clothing,Jacket,South,3,89.99,269.97,0.00,Home Office
1121,2023-10-22,Food,Coffee Beans,North,7,24.50,171.50,0.00,Consumer
1122,2023-10-25,Electronics,Tablet,East,2,499.00,998.00,0.10,Corporate
1123,2023-10-27,Furniture,Desk,West,1,549.00,549.00,0.05,Corporate
1124,2023-10-30,Office Supplies,Stapler,South,6,18.75,112.50,0.00,Home Office
1125,2023-11-02,Clothing,T-Shirt,North,12,24.99,299.88,0.15,Consumer
1126,2023-11-04,Food,Tea,East,10,9.99,99.90,0.00,Consumer
1127,2023-11-06,Electronics,Monitor,West,3,349.00,1047.00,0.00,Corporate
1128,2023-11-09,Furniture,Bookshelf,South,2,229.99,459.98,0.05,Consumer
1129,2023-11-11,Office Supplies,Notebook,North,15,5.99,89.85,0.00,Home Office
1130,2023-11-13,Electronics,Laptop,East,2,899.99,1799.98,0.05,Corporate
1131,2023-11-16,Clothing,Jeans,West,5,59.99,299.95,0.10,Consumer
1132,2023-11-18,Food,Chocolate,South,8,14.50,116.00,0.00,Consumer
1133,2023-11-20,Electronics,Camera,North,1,649.00,649.00,0.00,Consumer
1134,2023-11-23,Furniture,Sofa,East,1,899.00,899.00,0.15,Corporate
1135,2023-11-25,Office Supplies,Folder,West,30,3.49,104.70,0.00,Home Office
1136,2023-11-28,Electronics,Headphones,South,6,149.99,899.94,0.10,Consumer
1137,2023-11-30,Clothing,Dress,North,3,79.99,239.97,0.05,Consumer
1138,2023-12-03,Food,Olive Oil,East,5,19.99,99.95,0.00,Home Office
1139,2023-12-05,Electronics,Smartphone,West,3,799.99,2399.97,0.00,Consumer
1140,2023-12-07,Furniture,Chair,South,4,199.50,798.00,0.05,Consumer
1141,2023-12-10,Office Supplies,Pen Set,North,12,12.99,155.88,0.00,Consumer
1142,2023-12-12,Electronics,Tablet,East,4,499.00,1996.00,0.10,Corporate
1143,2023-12-14,Clothing,Jacket,West,2,89.99,179.98,0.00,Home Office
1144,2023-12-17,Food,Coffee Beans,South,6,24.50,147.00,0.00,Consumer
1145,2023-12-19,Electronics,Laptop,North,2,1199.99,2399.98,0.15,Corporate
1146,2023-12-21,Furniture,Desk,East,2,549.00,1098.00,0.05,Corporate
1147,2023-12-23,Office Supplies,Stapler,West,5,18.75,93.75,0.00,Home Office
1148,2023-12-26,Clothing,T-Shirt,South,15,24.99,374.85,0.10,Consumer
1149,2023-12-28,Food,Tea,North,20,9.99,199.80,0.00,Consumer
1150,2023-12-30,Electronics,Monitor,East,3,349.00,1047.00,0.00,Corporate
1151,2024-01-02,Electronics,Camera,West,,649.00,649.00,0.05,Consumer
1152,2024-01-05,Furniture,Bookshelf,South,2,,459.98,0.10,Consumer
1153,2024-01-07,Office Supplies,Notebook,North,10,5.99,,0.00,Home Office
1154,2024-01-10,,Pen Set,East,8,12.99,103.92,0.00,Consumer
1155,2024-01-12,Electronics,Headphones,West,3,149.99,449.97,,Corporate
1156,2024-01-15,Clothing,Dress,South,,79.99,159.98,0.05,Consumer
1157,2024-01-17,Food,Olive Oil,North,4,19.99,79.96,0.00,
1158,2024-01-20,Electronics,Smartphone,,2,799.99,1599.98,0.10,Consumer
1159,2024-01-22,Furniture,Sofa,East,1,899.00,,0.00,Corporate
1160,2024-01-25,Office Supplies,Folder,West,20,3.49,69.80,0.00,Home Office
1161,2024-01-27,Electronics,Laptop,South,1,999.99,999.99,0.00,Corporate
1162,2024-01-30,Clothing,Jacket,North,,89.99,179.98,0.05,Consumer
1163,2024-02-02,Food,Coffee Beans,East,5,24.50,122.50,0.00,Home Office
1164,2024-02-04,Electronics,Tablet,West,2,499.00,998.00,0.10,Consumer
1165,2024-02-07,Furniture,Chair,South,3,199.50,598.50,0.05,Consumer
1166,2024-02-09,Office Supplies,Stapler,North,4,,75.00,0.00,Home Office
1167,2024-02-11,Clothing,T-Shirt,East,8,24.99,199.92,0.15,Consumer
1168,2024-02-14,Food,Chocolate,West,6,14.50,87.00,0.00,Consumer
1169,2024-02-16,Electronics,Monitor,South,2,349.00,698.00,0.00,Corporate
1170,2024-02-19,Furniture,Desk,North,1,549.00,549.00,0.05,Corporate
1171,2024-02-21,Office Supplies,Notebook,East,15,5.99,89.85,0.00,Home Office
1172,2024-02-23,Electronics,Camera,West,1,649.00,649.00,0.00,Consumer
1173,2024-02-26,Clothing,Jeans,South,3,59.99,179.97,0.10,Consumer
1174,2024-02-28,Food,Tea,North,10,9.99,99.90,0.00,Consumer
1175,2024-03-02,Electronics,Laptop,East,2,899.99,1799.98,0.05,Corporate
1176,2024-03-04,Furniture,Bookshelf,West,2,229.99,459.98,0.00,Consumer
1177,2024-03-07,Office Supplies,Pen Set,South,10,12.99,129.90,0.00,Consumer
1178,2024-03-09,Electronics,Headphones,North,4,149.99,599.96,0.10,Consumer
1179,2024-03-11,Clothing,Dress,East,2,79.99,159.98,0.05,Consumer
1180,2024-03-14,Food,Olive Oil,West,5,19.99,99.95,0.00,Home Office
1181,2024-03-16,Electronics,Smartphone,South,2,699.99,1399.98,0.00,Consumer
1182,2024-03-19,Furniture,Sofa,North,1,999.00,999.00,0.15,Corporate
1183,2024-03-21,Office Supplies,Folder,East,25,3.49,87.25,0.00,Home Office
1184,2024-03-23,Electronics,Tablet,West,3,399.00,1197.00,0.05,Corporate
1185,2024-03-26,Clothing,Jacket,South,2,89.99,179.98,0.00,Home Office
1186,2024-03-28,Food,Coffee Beans,North,6,24.50,147.00,0.00,Consumer
1187,2024-03-30,Electronics,Monitor,East,2,349.00,698.00,0.05,Corporate
1188,2024-04-02,Furniture,Chair,West,5,199.50,997.50,0.10,Consumer
1189,2024-04-04,Office Supplies,Stapler,South,3,18.75,56.25,0.00,Home Office
1190,2024-04-07,Clothing,T-Shirt,North,10,24.99,249.90,0.15,Consumer
1191,2024-04-09,Food,Chocolate,East,7,14.50,101.50,0.00,Consumer
1192,2024-04-11,Electronics,Laptop,West,1,1099.99,1099.99,0.00,Corporate
1193,2024-04-14,Furniture,Desk,South,2,549.00,1098.00,0.05,Corporate
1194,2024-04-16,Office Supplies,Notebook,North,20,5.99,119.80,0.00,Home Office
1195,2024-04-19,Electronics,Camera,East,2,549.00,1098.00,0.00,Consumer
1196,2024-04-21,Clothing,Jeans,West,4,59.99,239.96,0.05,Consumer
1197,2024-04-23,Food,Tea,South,15,9.99,149.85,0.00,Consumer
1198,2024-04-26,Electronics,Headphones,North,5,149.99,749.95,0.10,Consumer
1199,2024-04-28,Furniture,Bookshelf,East,3,229.99,689.97,0.05,Consumer
1200,2024-04-30,Office Supplies,Folder,West,30,3.49,104.70,0.00,Home Office
1038,2023-04-04,Electronics,Laptop,East,2,899.99,1799.98,0.10,Corporate
1073,2023-06-28,Electronics,Laptop,North,2,899.99,1799.98,0.05,Corporate
1130,2023-11-13,Electronics,Laptop,East,2,899.99,1799.98,0.05,Corporate
